MARK,ADV,FNOM,FACC,MNOM,MACC,MINOM,MIACC,MULNOM,MULACC
5,замечательно,замечательная,замечательную,замечательный,замечательный,замечательное,замечательное,замечательные,замечательные
5,безукоризненно,безукоризненная,безукоризненную,безукоризненный,безукоризненный,безукоризненное,безукоризненное,безукоризненные,безукоризненные
5,отлично,отличная,отличную,отличный,отличный,отличное,отличное,отличные,отличные
5,прекрасно,прекрасная,прекрасную,прекрасный,прекрасный,прекрасное,прекрасное,прекрасные,прекрасные
5,первоклассно,первоклассная,первоклассную,первоклассный,первоклассный,первоклассное,первоклассное,первоклассные,первоклассные
5,отменно,отменная,отменную,отменный,отменный,отменное,отменное,отменные,отменные
5,крайне хорошо,крайне хорошая,крайне хорошую,крайне хороший,крайне хороший,крайне хорошее,крайне хорошее,крайне хорошие,крайне хорошие
5,очень похвально,очень похвальная,очень похвальную,очень похвальный,очень похвальный,очень похвальное,очень похвальное,очень похвальные,очень похвальные
4,хорошо,хорошая,хорошую,хороший,хороший,хорошее,хорошее,хорошие,хорошие
4,похвально,похвальная,похвальную,похвальныЙ,похвальный,похвальное,похвальное,похвальные,похвальные
4,недурственно,недурственная,недурственную,недурственный,недурственный,недурственное,недурственное,недурственные,недурственные
4,добросовестно,добросовестная,добросовестную,добросовестный,добросовестный,добросовестное,добросовестное,добросовестные,добросовестные
4,достойно,достойная,достойную,достойный,достойный,достойное,достойное,достойные,достойные
4,порядочно,порядочная,порядочную,порядочный,порядочный,порядочное,порядочное,порядочные,порядочные
3,нормально,нормальная,нормальную,нормальный,нормальный,нормальное,нормальное,нормальные,нормальные
3,неплохо,неплохая,неплохую,неплохой,неплохой,неплохое,неплохое,неплохие,неплохие
3,удовлетворительно,удовлетворительная,удовлетворительную,удовлетворительный,удовлетворительный,удовлетворительное,удовлетворительное,удовлетворительные,удовлетворительные
3,средне,средняя,среднюю,средний,средний,среднее,среднее,средние,средние
3,посредственно,посредственная,посредственную,посредственный,посредственный,посредственное,посредственное,посредственные,посредственные
2,плохо,плохая,плохую,плохой,плохой,плохое,плохое,плохие,плохие
2,неудовлетворительно,неудовлетворительная,неудовлетворительную,неудовлетворительный,неудовлетворительный,неудовлетворительное,неудовлетворительное,неудовлетворительные,неудовлетворительные
2,неподобающе,неподобающая,неподобающую,неподобающий,неподобающий,неподобающее,неподобающее,неподобающие,неподобающие   
2,слабо,слабая,слабую,слабый,слабый,слабое,слабое,слабые,слабые
2,недоброкачественно,недоброкачественная,недоброкачественную,недоброкачественный,недоброкачественный,недоброкачественное,недоброкачественное,недоброкачественные,недоброкачественные
2,скверно,скверная,скверную,скверный,скверный,скверное,скверное,скверные,скверные
1,очень скверно,очень скверная,очень скверную,очень скверный,очень скверный,очень скверное,очень скверное,очень скверные,очень скверные
1,очень плохо,очень плохая,очень плохую,очень плохой,очень плохой,очень плохое,очень плохое,очень плохие,очень плохие
1,крайне недоброкачественно,крайне недоброкачественная,крайне недоброкачественная,крайне недоброкачественный,крайне недоброкачественный,крайное недоброкачественное,крайне недоброкачественное,крайное недоброкачественные,крайне недоброкачественные
1,крайне неудовлетворительно,крайне неудовлетворительная,крайне неудовлетворительную,крайне неудовлетворительный,крайне неудовлетворительный,крайне неудовлетворительное,крайне неудовлетворительное,крайне неудовлетворительные,крайне неудовлетворительные
1,неподобающе слабо,неподобающе слабая,неподобающе слабую,неподобающе слабый,неподобающе слабый,неподобающе слабое,неподобающе слабое,неподобающе слабые,неподобающе слабые
